product_name,semantic,count
1L裝 發泡煉石 陶粒 鋪底石 鋪面石 多肉介質 缽底石 陶粒水耕 礫耕 矽石 蘭花介質,Negative,4
1L裝 發泡煉石 陶粒 鋪底石 鋪面石 多肉介質 缽底石 陶粒水耕 礫耕 矽石 蘭花介質,Positive,2
24H出貨上好生醫 醫療口罩 成人醫療口罩 50入/盒 滿版口罩 耳帶同色 兒童醫療口罩  莫蘭迪色系 平面醫療口罩,Negative,4
24H出貨上好生醫 醫療口罩 成人醫療口罩 50入/盒 滿版口罩 耳帶同色 兒童醫療口罩  莫蘭迪色系 平面醫療口罩,Positive,2
24H現貨出貨附發票8件88折生日眼鏡 生日道具 慶生道具 生日快樂眼鏡 生日眼鏡道具 生日裝飾 生日髮箍 生日帽,Negative,3
24H現貨出貨附發票8件88折生日眼鏡 生日道具 慶生道具 生日快樂眼鏡 生日眼鏡道具 生日裝飾 生日髮箍 生日帽,Positive,3
3M 亮彩舒適型止滑/耐磨手套---(S/M/L/XL-5色均有現貨),Positive,4
3M 亮彩舒適型止滑/耐磨手套---(S/M/L/XL-5色均有現貨),Negative,2
3M隔音耳塞台灣現貨 24H出貨 隔音耳塞 耳塞 3M 防噪音 睡眠 游泳 降噪 靜音 入耳式耳塞,Negative,4
3M隔音耳塞台灣現貨 24H出貨 隔音耳塞 耳塞 3M 防噪音 睡眠 游泳 降噪 靜音 入耳式耳塞,Positive,2
99享9折小亮點釹鐵硼強力磁鐵 超強磁鐵 強磁 圓型 方型 超強力吸鐵 DIY 文具教具科學實驗 N35 稀土,Positive,3
99享9折小亮點釹鐵硼強力磁鐵 超強磁鐵 強磁 圓型 方型 超強力吸鐵 DIY 文具教具科學實驗 N35 稀土,Negative,3
Blossom&R  現貨 毛毛蟲拖鞋 米其林拖鞋 麵包拖鞋 居家情侶拖鞋 防滑拖鞋 ins風 厚底防臭拖鞋 Q彈拖鞋,Negative,5
Blossom&R  現貨 毛毛蟲拖鞋 米其林拖鞋 麵包拖鞋 居家情侶拖鞋 防滑拖鞋 ins風 厚底防臭拖鞋 Q彈拖鞋,Positive,1
CC♣10周年‧目錄♣OPP自黏袋多尺寸100入超透明自黏袋OPP外包袋透明包裝袋服飾袋黛渼 買10送1,Negative,4
CC♣10周年‧目錄♣OPP自黏袋多尺寸100入超透明自黏袋OPP外包袋透明包裝袋服飾袋黛渼 買10送1,Positive,2
CC目錄♣台灣製快速出貨破壞袋100入-破壞袋.快遞袋.寄件袋-白色-粉紅色-藍色-紫色-綠色-黑色-蒂芬妮色黛渼 ,Negative,5
CC目錄♣台灣製快速出貨破壞袋100入-破壞袋.快遞袋.寄件袋-白色-粉紅色-藍色-紫色-綠色-黑色-蒂芬妮色黛渼 ,Positive,1
JOJO現貨⚡新款到♡個性主題霧面貼紙包 48張以上 防水貼紙 霧面貼紙 好撕貼紙 裝飾貼紙 手帳素材 不留痕 可愛貼紙,Negative,4
JOJO現貨⚡新款到♡個性主題霧面貼紙包 48張以上 防水貼紙 霧面貼紙 好撕貼紙 裝飾貼紙 手帳素材 不留痕 可愛貼紙,Positive,2
MOLDEX 美國超靜音耳塞 全規格公司貨 - 6800 6870 6604 6820 6630 適合工作睡眠,Negative,4
MOLDEX 美國超靜音耳塞 全規格公司貨 - 6800 6870 6604 6820 6630 適合工作睡眠,Positive,2
SGS認證304不鏽鋼保鮮盒 保鮮碗 便當盒 餐盒 飯盒 密封盒 不鏽鋼便當盒 泡麵碗 不鏽鋼碗 兒童碗 隔熱碗,Negative,5
SGS認證304不鏽鋼保鮮盒 保鮮碗 便當盒 餐盒 飯盒 密封盒 不鏽鋼便當盒 泡麵碗 不鏽鋼碗 兒童碗 隔熱碗,Positive,1
"Smart Shake,ON, MYPROTEIN  搖搖杯 健身杯 重訓 高蛋白 乳清",Negative,4
"Smart Shake,ON, MYPROTEIN  搖搖杯 健身杯 重訓 高蛋白 乳清",Positive,2
Suke.co 10入 大地色 莫蘭迪 美顏 不脫妝 V臉 顯瘦 立體口罩 3D口罩  3D立體口罩 熔噴布 防塵 口罩,Negative,4
Suke.co 10入 大地色 莫蘭迪 美顏 不脫妝 V臉 顯瘦 立體口罩 3D口罩  3D立體口罩 熔噴布 防塵 口罩,Positive,2
WINE正品第5代 台灣現貨 萬向 水龍頭 起泡器 增壓 延伸 過濾器 起波器 省水 機械臂 1080 洗漱 調節器,Negative,5
WINE正品第5代 台灣現貨 萬向 水龍頭 起泡器 增壓 延伸 過濾器 起波器 省水 機械臂 1080 洗漱 調節器,Positive,1
[♥小桃代購♥開發票] 韓國 ●Median 93% 護理牙膏 120g 麥迪安 效期最長 單筆最多60條 滿99元出貨,Negative,5
[♥小桃代購♥開發票] 韓國 ●Median 93% 護理牙膏 120g 麥迪安 效期最長 單筆最多60條 滿99元出貨,Positive,1
[台灣現貨]台灣製 背心袋 提袋 塑膠提袋 花袋 4兩 半斤 1斤 2斤 3斤 4斤 5斤 塑膠袋杯袋D208垃圾袋,Negative,3
[台灣現貨]台灣製 背心袋 提袋 塑膠提袋 花袋 4兩 半斤 1斤 2斤 3斤 4斤 5斤 塑膠袋杯袋D208垃圾袋,Positive,3
[台灣現貨]耐熱袋 台灣製造塑膠 透明塑膠袋 食物分裝袋 餐廳小吃袋 6兩/半斤/1斤/2斤/3斤/5斤D207袋子,Negative,4
[台灣現貨]耐熱袋 台灣製造塑膠 透明塑膠袋 食物分裝袋 餐廳小吃袋 6兩/半斤/1斤/2斤/3斤/5斤D207袋子,Positive,2
"[超好洗] 全店由蝦皮開立雲端電子發票 韓國過碳酸鈉  0.95公斤/包,超取上限5包/單,郵寄單筆上限20包",Negative,4
"[超好洗] 全店由蝦皮開立雲端電子發票 韓國過碳酸鈉  0.95公斤/包,超取上限5包/單,郵寄單筆上限20包",Positive,2
allmy附發票台灣現貨 Oral-B 歐樂B滿五卡送一卡贈品可選 副廠 刷頭 德國百靈EB10 EB50牙刷頭,Negative,4
allmy附發票台灣現貨 Oral-B 歐樂B滿五卡送一卡贈品可選 副廠 刷頭 德國百靈EB10 EB50牙刷頭,Positive,2
iSlippers簡約純色皮質室內拖鞋 /任選A區 [台灣犀利趴] 6雙$450,Negative,6
zmzm6202VIP售後專屬卡 鑒賞期 補差價專用,Positive,3
zmzm6202VIP售後專屬卡 鑒賞期 補差價專用,Negative,3
‍液晶畫板‍ 兒童寫字板 畫板 寫字板 兒童繪圖板 兒童電子畫板 液晶 手寫板 畫畫板 兒童塗鴨板 最新學校教具,Positive,3
‍液晶畫板‍ 兒童寫字板 畫板 寫字板 兒童繪圖板 兒童電子畫板 液晶 手寫板 畫畫板 兒童塗鴨板 最新學校教具,Negative,3
☫TIY Store☫ 牛奶棉 五股牛奶棉線 毛線 五股牛奶棉 五股,Negative,4
☫TIY Store☫ 牛奶棉 五股牛奶棉線 毛線 五股牛奶棉 五股,Positive,2
《現貨免運+發票》 高CP值！NBR 手套 紫色特厚款 Protos多倍NBR合成橡膠檢診手套,Positive,3
《現貨免運+發票》 高CP值！NBR 手套 紫色特厚款 Protos多倍NBR合成橡膠檢診手套,Negative,3
『免運』按壓中性筆 24H出貨 台灣現貨矮胖老闆A781無印風 原子筆 按壓式自動中性筆 藍筆 紅筆 黑筆 筆芯,Negative,6
七彩多肉土專為多肉開發的配方彩虹多肉土 多肉石 多肉介質 多肉土壤 多肉植物專用土 仙人掌土 山烏龜介質,Positive,3
七彩多肉土專為多肉開發的配方彩虹多肉土 多肉石 多肉介質 多肉土壤 多肉植物專用土 仙人掌土 山烏龜介質,Negative,2
七彩多肉土專為多肉開發的配方彩虹多肉土 多肉石 多肉介質 多肉土壤 多肉植物專用土 仙人掌土 山烏龜介質,no data,1
中衛 醫療口罩 (30片x1盒入) (50片x1盒入)多款可選  蝦皮直送,Negative,4
中衛 醫療口罩 (30片x1盒入) (50片x1盒入)多款可選  蝦皮直送,Positive,2
二代★真正台灣製造 全台最亮最低價《CNS國家認證》高光效LED燈泡 護眼無藍光保護家人眼睛10W 13W 16W超節能,Negative,3
二代★真正台灣製造 全台最亮最低價《CNS國家認證》高光效LED燈泡 護眼無藍光保護家人眼睛10W 13W 16W超節能,Positive,3
便捷小包 乾淨衛生 手機屏幕清潔濕巾片,Negative,6
保密印章小麥購物D063亂碼印章 個資保護 資料保護章 印章 隱私保密章 滾輪亂碼印章,Negative,3
保密印章小麥購物D063亂碼印章 個資保護 資料保護章 印章 隱私保密章 滾輪亂碼印章,Positive,3
優享權益：如商品有缺漏、破損（不含包裝盒），免費補發一次raaee,Negative,5
優享權益：如商品有缺漏、破損（不含包裝盒），免費補發一次raaee,Positive,1
免運 含電子發票 倍潔雅 柔軟舒適 清新柔感 抽取式 衛生紙 150抽 84 60 56 包/箱,Positive,3
免運 含電子發票 倍潔雅 柔軟舒適 清新柔感 抽取式 衛生紙 150抽 84 60 56 包/箱,Negative,3
免運 大份量 隔天出貨正版防水姓名貼送專屬收藏夾 迪士尼 冰雪奇緣 角落生物 波利 漫威 佩佩豬 Kitty 貼紙,Negative,4
免運 大份量 隔天出貨正版防水姓名貼送專屬收藏夾 迪士尼 冰雪奇緣 角落生物 波利 漫威 佩佩豬 Kitty 貼紙,Positive,2
免運費加厚款日式抽屜收納盒 透明收納櫃 透明抽屜 收納盒 收納櫃 收納箱 可疊加 抽屜 衣櫃收納 宿舍收納,Negative,6
全台最俗夾鏈袋 封口袋 自封袋 食品封口袋 食品夾鏈袋 透明包裝袋(100入)BC0004,Positive,4
全台最俗夾鏈袋 封口袋 自封袋 食品封口袋 食品夾鏈袋 透明包裝袋(100入)BC0004,Negative,2
全網最低價 平面醫療口罩 50入1盒 MIT莫蘭迪色系 雙鋼印 醫療防護口罩  透氣口罩 醫療口罩 台灣製醫用口罩,Negative,5
全網最低價 平面醫療口罩 50入1盒 MIT莫蘭迪色系 雙鋼印 醫療防護口罩  透氣口罩 醫療口罩 台灣製醫用口罩,Positive,1
創藝園青山盆 附托盤 控根盆 透氣盆 盆栽容器 加侖盆 多肉花盆 字母花盆 戶外花盆 大盆栽 園藝花盆 花盆 大花盆,Negative,3
創藝園青山盆 附托盤 控根盆 透氣盆 盆栽容器 加侖盆 多肉花盆 字母花盆 戶外花盆 大盆栽 園藝花盆 花盆 大花盆,Positive,3
加厚18絲尼龍網紗衣服收納 衣櫃收納 衣物收納 內衣收納 襪子收納 衣服收納箱 衣物收納袋 內衣 內褲 牛仔褲 襪子,Negative,4
加厚18絲尼龍網紗衣服收納 衣櫃收納 衣物收納 內衣收納 襪子收納 衣服收納箱 衣物收納袋 內衣 內褲 牛仔褲 襪子,Positive,2
加大款植絨衣架 下殺4元 全台cp值最高 止滑衣架 衣櫃 衣架 曬衣架 晾曬架 掛衣架 收納 衣櫥 置物 防滑,Negative,6
勿刪，不影響發貨！回購領取50折扣卷  優先發貨  專屬處理,Negative,3
勿刪，不影響發貨！回購領取50折扣卷  優先發貨  專屬處理,Positive,3
北歐餐具 歐風餐具 環保餐具 三件套餐具 304不鏽鋼 餐具 叉子 湯匙 筷子 餐刀 金屬餐具 精品餐具 葡萄牙風餐具組,Positive,4
北歐餐具 歐風餐具 環保餐具 三件套餐具 304不鏽鋼 餐具 叉子 湯匙 筷子 餐刀 金屬餐具 精品餐具 葡萄牙風餐具組,Negative,2
升級超硬款 衣櫃分格收納袋 內衣褲襪子收納盒 收納袋 分隔收納盒 衣櫥收納袋 格子收納袋 分隔收納袋 衣物收納,Negative,4
升級超硬款 衣櫃分格收納袋 內衣褲襪子收納盒 收納袋 分隔收納盒 衣櫥收納袋 格子收納袋 分隔收納袋 衣物收納,Positive,2
厚底拖鞋 超厚底防滑拖鞋 居家拖鞋 室內拖鞋 EVA拖鞋 室內拖 浴室拖鞋 防滑拖鞋 防水拖鞋 耐磨休閒拖,Negative,5
厚底拖鞋 超厚底防滑拖鞋 居家拖鞋 室內拖鞋 EVA拖鞋 室內拖 浴室拖鞋 防滑拖鞋 防水拖鞋 耐磨休閒拖,Positive,1
口罩 醫療口罩 醫用口罩 CS凱馺三層醫療口罩 小臉 滿版全彩口罩（30入）～多色可選,Negative,3
口罩 醫療口罩 醫用口罩 CS凱馺三層醫療口罩 小臉 滿版全彩口罩（30入）～多色可選,Positive,3
台灣24H出貨各款式掛勾貼片 置物架貼片 無痕貼片 子母扣 掛勾 掛鉤 無痕置物架 透明貼片 掛勾貼 無痕免釘 免釘,Negative,4
台灣24H出貨各款式掛勾貼片 置物架貼片 無痕貼片 子母扣 掛勾 掛鉤 無痕置物架 透明貼片 掛勾貼 無痕免釘 免釘,Positive,2
台灣24H出貨最低價 子母扣 掛勾 無痕貼 掛勾貼片 卡扣 貼片 無痕貼片掛勾 置物架貼片 免釘 免打孔 透明貼片,Negative,4
台灣24H出貨最低價 子母扣 掛勾 無痕貼 掛勾貼片 卡扣 貼片 無痕貼片掛勾 置物架貼片 免釘 免打孔 透明貼片,Positive,2
台灣24H出貨買11折1精油 香氛精油 水溶性精油 香薰精油 薰香精油 水氧機精油 擴香石精油 芳香精油 薰衣草精油,Positive,4
台灣24H出貨買11折1精油 香氛精油 水溶性精油 香薰精油 薰香精油 水氧機精油 擴香石精油 芳香精油 薰衣草精油,Negative,2
台灣TOP1無痕跡掛勾實用免打洞掛鉤 子母掛鉤 強力掛勾 不留痕掛勾 掛勾 超強無釘 置物架 掛勾 無痕置物架貼片,Negative,6
台灣免運 SGS檢驗合格玻璃杯 雙層玻璃杯 耐熱玻璃 玻璃水杯 咖啡杯 隔熱杯 雙層杯 防燙杯 杯子 馬克杯 蛋形杯,Negative,5
台灣免運 SGS檢驗合格玻璃杯 雙層玻璃杯 耐熱玻璃 玻璃水杯 咖啡杯 隔熱杯 雙層杯 防燙杯 杯子 馬克杯 蛋形杯,Positive,1
台灣公司貨 公仔展示盒 公仔收納盒 盲盒收納 公仔盒 泡泡瑪特 盲盒展示盒 公仔展示櫃 展示櫃 展示盒 壓克力展示盒,Negative,5
台灣公司貨 公仔展示盒 公仔收納盒 盲盒收納 公仔盒 泡泡瑪特 盲盒展示盒 公仔展示櫃 展示櫃 展示盒 壓克力展示盒,Positive,1
台灣出貨 星空衛士集毛刷 靜電集毛刷 獨家靜電黑科技除毛力 靜電除毛刷 靜電除塵 除毛 除毛刷 衣物除塵刷 除塵刷 除塵,Positive,4
台灣出貨 星空衛士集毛刷 靜電集毛刷 獨家靜電黑科技除毛力 靜電除毛刷 靜電除塵 除毛 除毛刷 衣物除塵刷 除塵刷 除塵,Negative,2
台灣出貨 現貨+電子發票可重覆使用 專利加厚款 太力正品 免抽氣按壓式真空壓縮袋  衣服棉被收納袋 壓縮袋 寶來小舖,Negative,5
台灣出貨 現貨+電子發票可重覆使用 專利加厚款 太力正品 免抽氣按壓式真空壓縮袋  衣服棉被收納袋 壓縮袋 寶來小舖,Positive,1
台灣出貨太陽能感應燈 太陽能樓梯燈 庭園燈 台階燈 太陽能燈 led樓梯燈 欄桿燈 階梯燈 陽檯燈 戶外庭園燈 草坪燈,Negative,4
台灣出貨太陽能感應燈 太陽能樓梯燈 庭園燈 台階燈 太陽能燈 led樓梯燈 欄桿燈 階梯燈 陽檯燈 戶外庭園燈 草坪燈,Positive,2
台灣出貨鋼筆式毛筆 毛筆 抄經筆 軟頭筆 書法鋼筆 軟毛筆 書法 練字 小楷筆 墨筆,Positive,5
台灣出貨鋼筆式毛筆 毛筆 抄經筆 軟頭筆 書法鋼筆 軟毛筆 書法 練字 小楷筆 墨筆,Negative,1
台灣出貨門縫密封條 門縫 密封條 門窗密封條 窗戶隔音 門縫貼 窗密封條 窗戶密封條,Positive,4
台灣出貨門縫密封條 門縫 密封條 門窗密封條 窗戶隔音 門縫貼 窗密封條 窗戶密封條,Negative,2
台灣快速出貨現貨 白色多款 破壞袋 不透光黑色白色PE快遞袋網拍包裝袋 寄件袋便利袋 網拍必備,Negative,5
台灣快速出貨現貨 白色多款 破壞袋 不透光黑色白色PE快遞袋網拍包裝袋 寄件袋便利袋 網拍必備,Positive,1
台灣授權經銷商 免抽氣 真空壓縮袋 CP哥立體真空袋 收納袋 真空袋 真空壓縮收納袋 衣物收納袋 壓縮袋 棉被收納袋,Negative,6
台灣現貨  免運 附發票 透明鞋盒 磁吸 側開 加厚款 硬盒 球鞋收納 穩固疊加 鞋盒,Negative,5
台灣現貨  免運 附發票 透明鞋盒 磁吸 側開 加厚款 硬盒 球鞋收納 穩固疊加 鞋盒,Positive,1
台灣現貨 5吋電鑽洗車配件 打蠟海綿 拋光海綿 打蠟電鑽 打蠟拋光 打蠟機 打蠟盤 砂紙 電鑽打蠟機 打蠟羊毛 羊毛球,Negative,4
台灣現貨 5吋電鑽洗車配件 打蠟海綿 拋光海綿 打蠟電鑽 打蠟拋光 打蠟機 打蠟盤 砂紙 電鑽打蠟機 打蠟羊毛 羊毛球,Positive,2
台灣現貨 全站最殺價格 口罩 醫療口罩 宏瑋醫材口罩 50入 一盒 Kogi 莫蘭迪色 雙鋼印 醫用口罩 平面口罩,Negative,4
台灣現貨 全站最殺價格 口罩 醫療口罩 宏瑋醫材口罩 50入 一盒 Kogi 莫蘭迪色 雙鋼印 醫用口罩 平面口罩,Positive,2
台灣現貨 順易利 幼幼立體口罩 鬆緊耳繩 3D立體 幼幼 幼童 醫療口罩  台灣製造 防疫口罩 3D 醫用口罩 可愛口罩,Positive,4
台灣現貨 順易利 幼幼立體口罩 鬆緊耳繩 3D立體 幼幼 幼童 醫療口罩  台灣製造 防疫口罩 3D 醫用口罩 可愛口罩,Negative,2
台灣現貨 香氛機 薰香機 香薰機 精油機 擴香機 精油薰香機 除臭 廁所芳香 無水香氛機 芳香機 生日禮物,Positive,4
台灣現貨 香氛機 薰香機 香薰機 精油機 擴香機 精油薰香機 除臭 廁所芳香 無水香氛機 芳香機 生日禮物,Negative,2
台灣現貨(贈送36吋數字氣球/串燈) 氣球派對 打氣筒 生日氣球 生日派對 氣球 生日佈置 求婚 告白 慶生 情人節,Positive,3
台灣現貨(贈送36吋數字氣球/串燈) 氣球派對 打氣筒 生日氣球 生日派對 氣球 生日佈置 求婚 告白 慶生 情人節,Negative,3
台灣現貨+保固高配 led磁吸感應燈 人體感應燈 USB充電式感應燈 小夜燈 LED感應燈 照明燈露營燈衣櫥燈衣櫃燈,Negative,4
台灣現貨+保固高配 led磁吸感應燈 人體感應燈 USB充電式感應燈 小夜燈 LED感應燈 照明燈露營燈衣櫥燈衣櫃燈,Positive,2
台灣現貨+免運費環保購物袋 環保袋 環保提袋 環保購物袋 折疊購物袋 購物袋 牛津布 小禮物 大容量 易收納 購物袋,Negative,6
台灣現貨Bedclu☆素色水洗棉床包四件組☆柔軟舒適 裸睡親膚 單人床罩三件組 標準加大雙人床單被套組  刺綉純色,Negative,5
台灣現貨Bedclu☆素色水洗棉床包四件組☆柔軟舒適 裸睡親膚 單人床罩三件組 標準加大雙人床單被套組  刺綉純色,Positive,1
台灣現貨易碎貼紙/易碎標籤貼紙/易碎貼/網拍易碎貼紙/防摔貼紙/包裹貼紙玻璃易碎貼網拍貼紙警示貼易碎品貼紙,Negative,5
台灣現貨易碎貼紙/易碎標籤貼紙/易碎貼/網拍易碎貼紙/防摔貼紙/包裹貼紙玻璃易碎貼網拍貼紙警示貼易碎品貼紙,Positive,1
台灣現貨納米雙面膠 納米泡泡膠 奈米膠泡泡 吹泡泡納米膠 納米膠捏捏 納米泡泡球 奈米雙面膠 無痕雙面膠 雙面膠,Negative,5
台灣現貨納米雙面膠 納米泡泡膠 奈米膠泡泡 吹泡泡納米膠 納米膠捏捏 納米泡泡球 奈米雙面膠 無痕雙面膠 雙面膠,Positive,1
台灣當天寄 益生菌牙膏 牙膏 海鹽薄荷味亮白牙齒 牙膏益生菌 牙周護理 薄荷牙膏 海鹽牙膏 亮白牙膏 按壓式牙膏,Positive,3
台灣當天寄 益生菌牙膏 牙膏 海鹽薄荷味亮白牙齒 牙膏益生菌 牙周護理 薄荷牙膏 海鹽牙膏 亮白牙膏 按壓式牙膏,Negative,3
台灣秒發買10送1香氛精油 水溶性精油 精油 SGS認證 薰香精油 水氧機精油 薰衣草精油 玫瑰精油 除臭芳香精油,Negative,4
台灣秒發買10送1香氛精油 水溶性精油 精油 SGS認證 薰香精油 水氧機精油 薰衣草精油 玫瑰精油 除臭芳香精油,Positive,2
台灣製  3M吸濕排汗專利處理 保潔墊枕頭套 防水枕套  枕套,Negative,5
台灣製  3M吸濕排汗專利處理 保潔墊枕頭套 防水枕套  枕套,Positive,1
品質超好 超厚底柔軟拖鞋 防水防滑拖鞋 浴室止滑拖鞋 增高拖鞋 居家無聲拖鞋 防臭拖鞋 家居拖鞋 居家生活,Negative,5
品質超好 超厚底柔軟拖鞋 防水防滑拖鞋 浴室止滑拖鞋 增高拖鞋 居家無聲拖鞋 防臭拖鞋 家居拖鞋 居家生活,Positive,1
哈哈 書套 ((傳統亮面)) 自黏式 多種尺寸可選 新課綱  課本. 作業簿 筆記本 精裝書 拼布書 教科書 漫畫,Negative,4
哈哈 書套 ((傳統亮面)) 自黏式 多種尺寸可選 新課綱  課本. 作業簿 筆記本 精裝書 拼布書 教科書 漫畫,Positive,2
售後無憂優先退貨尊貴VIP服務售後無憂優先退貨尊貴VIP服務 不會影響出貨速度（請勿撤銷哦）,Negative,6
四刃霸王鑽鎢鋼鑽頭 鎢鋼合金 磁磚鑽 玻璃鑽 瓷磚鑽 紅磚 陶瓷 鑽尾 鑽頭 四刃螺旋鑽 大理石三角鑽 陶瓷鑽 玻璃,Negative,4
四刃霸王鑽鎢鋼鑽頭 鎢鋼合金 磁磚鑽 玻璃鑽 瓷磚鑽 紅磚 陶瓷 鑽尾 鑽頭 四刃螺旋鑽 大理石三角鑽 陶瓷鑽 玻璃,Positive,2
大盤最低價加長型黏毛器 加長柄地板粘毛器 長柄滾刷 加長滾毛器 加長清毛器黏毛絮 除塵滾筒 加長柄黏塵紙 黏貓毛,Positive,5
大盤最低價加長型黏毛器 加長柄地板粘毛器 長柄滾刷 加長滾毛器 加長清毛器黏毛絮 除塵滾筒 加長柄黏塵紙 黏貓毛,Negative,1
夾鏈袋 透明夾鏈袋 0號~12號 7號 10號夾鏈袋 PE 大夾鏈袋 小夾鏈袋 零件袋 飾品袋 夾鍊袋 收藏袋 零錢袋,Positive,4
夾鏈袋 透明夾鏈袋 0號~12號 7號 10號夾鏈袋 PE 大夾鏈袋 小夾鏈袋 零件袋 飾品袋 夾鍊袋 收藏袋 零錢袋,Negative,2
女童內褲 內褲 台灣現貨‼️熱銷內褲 兒童類純棉三角內褲 男童 女童 隨機花色不挑款不重複女童內褲 BTS,Negative,4
女童內褲 內褲 台灣現貨‼️熱銷內褲 兒童類純棉三角內褲 男童 女童 隨機花色不挑款不重複女童內褲 BTS,Positive,2
子母扣 無痕 掛勾 掛鉤 卡扣 子母卡扣 子母貼 掛鉤貼片 掛勾貼片 免釘牆 防水 免打孔 無痕貼 收納 匯薪一笑,Positive,3
子母扣 無痕 掛勾 掛鉤 卡扣 子母卡扣 子母貼 掛鉤貼片 掛勾貼片 免釘牆 防水 免打孔 無痕貼 收納 匯薪一笑,Negative,3
宏瑋 醫療級成人口罩 莫蘭迪色系 滿版口罩 輕時尚、輕復古滿版口罩 50入/盒,Negative,6
宏瑋滿版平面醫療口罩50入台灣公司貨 現貨 蝦皮代開發票小凱生活百貨,Negative,6
客製化商品（下標前請聊聊）,Positive,5
客製化商品（下標前請聊聊）,Negative,1
室內拖鞋小麥購物C074室內鞋 拖鞋 室內拖 浴室拖鞋 居家拖鞋 鞋底加厚 防滑拖鞋 浴室拖,Negative,4
室內拖鞋小麥購物C074室內鞋 拖鞋 室內拖 浴室拖鞋 居家拖鞋 鞋底加厚 防滑拖鞋 浴室拖,Positive,2
室內擴香瓶  香氛擴香瓶  擴香棒瓶  薰香 室內香氛擴香 香氛 環境除臭 香薰瓶 芳香劑 芳香瓶MZ0066,Negative,3
室內擴香瓶  香氛擴香瓶  擴香棒瓶  薰香 室內香氛擴香 香氛 環境除臭 香薰瓶 芳香劑 芳香瓶MZ0066,Positive,3
寵粉慶最低價流體熊 鑰匙圈 暴力熊 手做材料包 手工藝 diy 流體畫顏料 交換禮物 聖誕節禮物 情侶 親子遊戲,Negative,5
寵粉慶最低價流體熊 鑰匙圈 暴力熊 手做材料包 手工藝 diy 流體畫顏料 交換禮物 聖誕節禮物 情侶 親子遊戲,Positive,1
居家拖鞋 踩屎輕盈超厚底防滑拖鞋 防水戶外可穿 防水止滑拖鞋 浴室止滑拖鞋 踩屎拖鞋 無聲拖鞋 防臭拖鞋,Negative,5
居家拖鞋 踩屎輕盈超厚底防滑拖鞋 防水戶外可穿 防水止滑拖鞋 浴室止滑拖鞋 踩屎拖鞋 無聲拖鞋 防臭拖鞋,Positive,1
